n1,n2,gain_e_per_DN,gain_err,RN_e,max_signal_DN,nframes
6.193000000000000000e+03,6.194000000000000000e+03,-3.356270940552373183e+00,3.860502582492482682e-01,-3.475390750228772418e+01,4.545000000000000000e+02,1.030000000000000000e+02
6.194000000000000000e+03,6.195000000000000000e+03,-6.255966875656261195e+00,1.269376846175788165e+00,-5.634369849625208815e+01,4.405000000000000000e+02,1.030000000000000000e+02
6.195000000000000000e+03,6.196000000000000000e+03,1.737400719910344282e+00,1.338242457392111173e-01,0.000000000000000000e+00,3.665000000000000000e+02,1.030000000000000000e+02
6.196000000000000000e+03,6.197000000000000000e+03,2.882599977232549460e+00,1.047773918771773560e-01,0.000000000000000000e+00,2.805000000000000000e+02,1.030000000000000000e+02
6.197000000000000000e+03,6.198000000000000000e+03,8.283981067646191576e+00,5.236887071365533330e+00,1.014297231133921429e+02,6.695000000000000000e+02,1.030000000000000000e+02
6.198000000000000000e+03,6.199000000000000000e+03,-2.715870495048939404e+00,6.917969216662495091e-01,-5.219820307397966985e+01,9.140000000000000000e+02,1.030000000000000000e+02
6.199000000000000000e+03,6.200000000000000000e+03,2.734943269897957663e+00,3.347033337542668074e-01,1.958972209739564363e+01,8.840000000000000000e+02,1.030000000000000000e+02
6.200000000000000000e+03,6.201000000000000000e+03,1.915549358262593538e+00,1.564048398848788268e-01,0.000000000000000000e+00,6.470000000000000000e+02,1.030000000000000000e+02
6.201000000000000000e+03,6.202000000000000000e+03,8.258352829489377100e+00,1.245267645944007295e+00,2.475264924504341479e+01,4.965000000000000000e+02,1.030000000000000000e+02
