n1,n2,gain_e_per_DN,gain_err,RN_e,max_signal_DN,nframes
2.155100000000000000e+04,2.155200000000000000e+04,4.383941336052830451e+01,2.105625382489377806e-01,4.123887481519004439e+01,7.283880920410156250e+02,5.200000000000000000e+01
2.155200000000000000e+04,2.155300000000000000e+04,4.351513132440105380e+01,1.267953332298922819e-01,3.886504682247436904e+01,7.290535278320312500e+02,5.200000000000000000e+01
2.155300000000000000e+04,2.155400000000000000e+04,4.451664983656973362e+01,2.179971538745057724e-01,4.437970305336801147e+01,7.293457336425781250e+02,5.200000000000000000e+01
2.155400000000000000e+04,2.155500000000000000e+04,4.439769926992899229e+01,2.427797590378389936e-01,4.282593627930802427e+01,7.286221923828125000e+02,5.200000000000000000e+01
2.155500000000000000e+04,2.155600000000000000e+04,4.445680535197232075e+01,2.430630487223036096e-01,4.194360151462986863e+01,7.282713317871093750e+02,5.200000000000000000e+01
2.155600000000000000e+04,2.155700000000000000e+04,4.404714526701681621e+01,1.577001982248807943e-01,4.015424270008278285e+01,7.286225051879882812e+02,5.200000000000000000e+01
2.155700000000000000e+04,2.155800000000000000e+04,4.444335494899375760e+01,1.766918453211248630e-01,4.171888967194668396e+01,7.292563247680664062e+02,5.200000000000000000e+01
2.155800000000000000e+04,2.155900000000000000e+04,4.462587855890877364e+01,2.103849183501139697e-01,4.264046192679163028e+01,7.296564941406250000e+02,5.200000000000000000e+01
2.155900000000000000e+04,2.156000000000000000e+04,4.349895415100776574e+01,2.101596103433067686e-01,3.992584041108192139e+01,7.296727600097656250e+02,5.200000000000000000e+01
