frame_number,time_s,accumulated_signal_DN,ramp_to_ramp_std_DN,fractional_rolloff,initial_linear_model_DN
4.000000000000000000e+01,4.194303999999999633e+01,5.630000000000000000e+02,3.868246803570492887e+01,1.228070175438600309e-02,5.700000000000000000e+02
4.100000000000000000e+01,4.299161600000000050e+01,5.760000000000000000e+02,4.215843134336633824e+01,1.538461538461532996e-02,5.850000000000000000e+02
4.200000000000000000e+01,4.404019199999999756e+01,5.940000000000000000e+02,3.994996871087635526e+01,1.000000000000000888e-02,6.000000000000000000e+02
4.300000000000000000e+01,4.508876799999999463e+01,6.090000000000000000e+02,3.847510017314228747e+01,9.756097560975618421e-03,6.150000000000000000e+02
4.400000000000000000e+01,4.613734399999999880e+01,6.210000000000000000e+02,3.957692930652065399e+01,1.428571428571423496e-02,6.300000000000000000e+02
4.500000000000000000e+01,4.718591999999999587e+01,6.340000000000000000e+02,4.012895878705717223e+01,1.705426356589145875e-02,6.450000000000000000e+02
4.600000000000000000e+01,4.823449600000000004e+01,6.510000000000000000e+02,3.842308333974946777e+01,1.363636363636366866e-02,6.600000000000000000e+02
4.700000000000000000e+01,4.928307199999999710e+01,6.670000000000000000e+02,3.994996871087635526e+01,1.185185185185189116e-02,6.750000000000000000e+02
4.800000000000000000e+01,5.033164800000000128e+01,6.800000000000000000e+02,3.839704849768186534e+01,1.449275362318835914e-02,6.900000000000000000e+02
4.900000000000000000e+01,5.138022399999999834e+01,6.930000000000000000e+02,3.839704849768186534e+01,1.702127659574470542e-02,7.050000000000000000e+02
5.000000000000000000e+01,5.242879999999999541e+01,7.080000000000000000e+02,4.070626487409523975e+01,1.666666666666671848e-02,7.200000000000000000e+02
5.100000000000000000e+01,5.347737599999999958e+01,7.250000000000000000e+02,3.666515148384544176e+01,1.360544217687076340e-02,7.350000000000000000e+02
5.200000000000000000e+01,5.452595199999999664e+01,7.370000000000000000e+02,3.955165398985652558e+01,1.733333333333331172e-02,7.500000000000000000e+02
5.300000000000000000e+01,5.557452800000000082e+01,7.500000000000000000e+02,4.156921938165305619e+01,1.960784313725494332e-02,7.650000000000000000e+02
5.400000000000000000e+01,5.662310399999999788e+01,7.660000000000000000e+02,4.015387071420803267e+01,1.794871794871799597e-02,7.800000000000000000e+02
5.500000000000000000e+01,5.767167999999999495e+01,7.840000000000000000e+02,3.900000000000000000e+01,1.383647798742138058e-02,7.950000000000000000e+02
5.600000000000000000e+01,5.872025599999999912e+01,7.950000000000000000e+02,3.839704849768186534e+01,1.851851851851848973e-02,8.100000000000000000e+02
5.700000000000000000e+01,5.976883199999999619e+01,8.080000000000000000e+02,4.186088070422471930e+01,2.060606060606062773e-02,8.250000000000000000e+02
5.800000000000000000e+01,6.081740800000000036e+01,8.240000000000000000e+02,3.869539162915053510e+01,1.904761904761909097e-02,8.400000000000000000e+02
5.900000000000000000e+01,6.186598399999999742e+01,8.390000000000000000e+02,3.957692930652065399e+01,1.871345029239768198e-02,8.550000000000000000e+02
6.000000000000000000e+01,6.291455999999999449e+01,8.530000000000000000e+02,4.104063027456246715e+01,1.954022988505743630e-02,8.700000000000000000e+02
6.100000000000000000e+01,6.396313599999999866e+01,8.660000000000000000e+02,4.104063027456246715e+01,2.146892655367227398e-02,8.850000000000000000e+02
6.200000000000000000e+01,6.501171200000000283e+01,8.800000000000000000e+02,3.868246803570492887e+01,2.222222222222225430e-02,9.000000000000000000e+02
6.300000000000000000e+01,6.606028799999999990e+01,8.950000000000000000e+02,4.020364825899925165e+01,2.185792349726778383e-02,9.150000000000000000e+02
6.400000000000000000e+01,6.710886399999999696e+01,9.140000000000000000e+02,3.611555528208494081e+01,1.720430107526882413e-02,9.300000000000000000e+02
6.500000000000000000e+01,6.815743999999999403e+01,9.250000000000000000e+02,3.754108860080290100e+01,2.116402116402116285e-02,9.450000000000000000e+02
