n1,n2,gain_e_per_DN,gain_err,RN_e,max_signal_DN,nframes
6.163000000000000000e+03,6.164000000000000000e+03,5.991020507170274206e-03,3.224229259928884845e-04,0.000000000000000000e+00,1.453050000000000000e+04,2.300000000000000000e+01
6.164000000000000000e+03,6.165000000000000000e+03,5.657853260823294400e-03,2.519665862948333810e-04,0.000000000000000000e+00,2.439125000000000000e+04,2.300000000000000000e+01
6.165000000000000000e+03,6.166000000000000000e+03,1.092289635464848807e+00,7.923635992934000782e+00,4.997275765066719941e+02,3.955425000000000000e+04,2.300000000000000000e+01
6.166000000000000000e+03,6.167000000000000000e+03,1.937145379923341931e-02,2.600343173362005059e-03,0.000000000000000000e+00,1.986700000000000000e+04,2.300000000000000000e+01
6.167000000000000000e+03,6.168000000000000000e+03,1.488131667923844104e+00,9.500211415291543934e-03,3.423806705635922043e+01,9.383000000000000000e+03,2.300000000000000000e+01
6.168000000000000000e+03,6.169000000000000000e+03,1.526878475769609000e+00,1.177106746483251414e-02,3.657173133216849692e+01,9.375000000000000000e+03,2.300000000000000000e+01
6.169000000000000000e+03,6.170000000000000000e+03,1.441192752026416057e+00,1.171479125174980027e-02,3.145045598245868490e+01,9.383500000000000000e+03,2.300000000000000000e+01
6.170000000000000000e+03,6.171000000000000000e+03,1.468486517073354980e+00,1.815636041728225722e-02,3.373910120741629015e+01,9.332000000000000000e+03,2.300000000000000000e+01
6.171000000000000000e+03,6.172000000000000000e+03,1.514689186248491026e+00,1.403643527550458604e-02,3.626466616057727776e+01,9.277000000000000000e+03,2.300000000000000000e+01
