n1,n2,gain_e_per_DN,gain_err,RN_e,max_signal_DN,nframes
6.223000000000000000e+03,6.224000000000000000e+03,1.073232910494727133e+00,1.290626339724515459e-01,3.483423273431110800e+00,7.610000000000000000e+02,5.800000000000000000e+01
6.224000000000000000e+03,6.225000000000000000e+03,-1.521935203643861279e+01,1.442645848237808792e+01,-1.395542447921799010e+02,5.340000000000000000e+02,5.800000000000000000e+01
6.225000000000000000e+03,6.226000000000000000e+03,4.873641176679491593e+00,1.301244594109819408e+00,1.802593133718207596e+01,6.840000000000000000e+02,5.800000000000000000e+01
6.226000000000000000e+03,6.227000000000000000e+03,2.229035944522496759e+00,2.811222747197569816e-01,5.026717343576245334e+00,7.625000000000000000e+02,5.800000000000000000e+01
6.227000000000000000e+03,6.228000000000000000e+03,-2.352192925092990805e+01,5.037196967579879470e+01,-3.585882761150893430e+02,8.610000000000000000e+02,5.800000000000000000e+01
6.228000000000000000e+03,6.229000000000000000e+03,5.582460470627297333e-01,3.349929905977847011e-02,0.000000000000000000e+00,6.190000000000000000e+02,5.800000000000000000e+01
6.229000000000000000e+03,6.230000000000000000e+03,2.238799993444175129e+00,3.717978500704706701e-01,4.542575797370145274e+00,5.272500000000000000e+02,5.800000000000000000e+01
6.230000000000000000e+03,6.231000000000000000e+03,-3.595527969121425027e+00,7.270878683487806970e-01,-4.882999206936970182e+01,7.627500000000000000e+02,5.800000000000000000e+01
6.231000000000000000e+03,6.232000000000000000e+03,4.513267728410372825e+00,4.793630018953189409e-01,0.000000000000000000e+00,9.675000000000000000e+02,5.800000000000000000e+01
