n1,n2,gain_e_per_DN,gain_err,RN_e,max_signal_DN,nframes
2.158100000000000000e+04,2.158200000000000000e+04,4.146956499367778548e+01,2.483637935106733086e-01,3.926868494591359848e+01,7.019799804687500000e+02,2.900000000000000000e+01
2.158200000000000000e+04,2.158300000000000000e+04,4.119662526309203798e+01,1.973149311618106749e-01,3.848499802797334723e+01,7.022042922973632812e+02,2.900000000000000000e+01
2.158300000000000000e+04,2.158400000000000000e+04,4.053393486951901536e+01,2.285482753151876489e-01,3.700033647915783774e+01,7.022541275024414062e+02,2.900000000000000000e+01
2.158400000000000000e+04,2.158500000000000000e+04,4.101043369501776681e+01,2.230498325113331737e-01,3.809311814429852205e+01,7.023801727294921875e+02,2.900000000000000000e+01
2.158500000000000000e+04,2.158600000000000000e+04,4.133781807444277234e+01,2.186332059850730203e-01,3.842906077674332010e+01,7.021283111572265625e+02,2.900000000000000000e+01
2.158600000000000000e+04,2.158700000000000000e+04,4.077856144757566881e+01,1.484955791256941660e-01,3.820648414977618046e+01,7.023399887084960938e+02,2.900000000000000000e+01
2.158700000000000000e+04,2.158800000000000000e+04,4.127626294507009419e+01,2.891084369638565188e-01,4.012183248222383725e+01,7.026637878417968750e+02,2.900000000000000000e+01
2.158800000000000000e+04,2.158900000000000000e+04,4.132145775350842598e+01,1.968074974034423330e-01,3.867590993203018712e+01,7.024574966430664062e+02,2.900000000000000000e+01
2.158900000000000000e+04,2.159000000000000000e+04,4.082389758603556373e+01,2.126676209656279681e-01,3.775747127733172448e+01,7.020974502563476562e+02,2.900000000000000000e+01
