frame_number,time_s,accumulated_signal_DN,ramp_to_ramp_std_DN,fractional_rolloff,initial_linear_model_DN
1.000000000000000000e+00,1.048575999999999953e+00,-6.600000000000000000e+01,5.549774770204643382e+00,-5.600000000000004974e-02,-6.250000000000000000e+01
2.000000000000000000e+00,2.097151999999999905e+00,0.000000000000000000e+00,0.000000000000000000e+00,nan,0.000000000000000000e+00
3.000000000000000000e+00,3.145728000000000080e+00,6.400000000000000000e+01,5.830951894845300743e+00,-2.400000000000002132e-02,6.250000000000000000e+01
4.000000000000000000e+00,4.194303999999999810e+00,1.250000000000000000e+02,1.265701386583739207e+01,0.000000000000000000e+00,1.250000000000000000e+02
5.000000000000000000e+00,5.242879999999999541e+00,1.860000000000000000e+02,1.932097306038182083e+01,8.000000000000007105e-03,1.875000000000000000e+02
6.000000000000000000e+00,6.291456000000000159e+00,2.460000000000000000e+02,2.535152855352118806e+01,1.600000000000001421e-02,2.500000000000000000e+02
7.000000000000000000e+00,7.340031999999999890e+00,3.050000000000000000e+02,3.058267483396441122e+01,2.400000000000002132e-02,3.125000000000000000e+02
8.000000000000000000e+00,8.388607999999999620e+00,3.620000000000000000e+02,3.529447548838203375e+01,3.466666666666662344e-02,3.750000000000000000e+02
9.000000000000000000e+00,9.437184000000000239e+00,4.230000000000000000e+02,3.904484601070927852e+01,3.314285714285714057e-02,4.375000000000000000e+02
1.000000000000000000e+01,1.048575999999999908e+01,4.880000000000000000e+02,4.280537349445744155e+01,2.400000000000002132e-02,5.000000000000000000e+02
1.100000000000000000e+01,1.153433599999999970e+01,5.540000000000000000e+02,4.620281376712894428e+01,1.511111111111107519e-02,5.625000000000000000e+02
1.200000000000000000e+01,1.258291200000000032e+01,6.190000000000000000e+02,4.961552176486709698e+01,9.600000000000052935e-03,6.250000000000000000e+02
1.300000000000000000e+01,1.363148799999999916e+01,6.860000000000000000e+02,5.327569802452146064e+01,2.181818181818173663e-03,6.875000000000000000e+02
1.400000000000000000e+01,1.468006399999999978e+01,7.510000000000000000e+02,5.624322181383282526e+01,-1.333333333333408532e-03,7.500000000000000000e+02
1.500000000000000000e+01,1.572863999999999862e+01,8.210000000000000000e+02,5.975198741464588892e+01,-1.046153846153852207e-02,8.125000000000000000e+02
1.600000000000000000e+01,1.677721599999999924e+01,8.880000000000000000e+02,6.121111010266028529e+01,-1.485714285714290206e-02,8.750000000000000000e+02
1.700000000000000000e+01,1.782579199999999986e+01,9.550000000000000000e+02,6.312685640834651934e+01,-1.866666666666660923e-02,9.375000000000000000e+02
1.800000000000000000e+01,1.887436800000000048e+01,1.021000000000000000e+03,6.478194192828739517e+01,-2.099999999999990763e-02,1.000000000000000000e+03
1.900000000000000000e+01,1.992294399999999754e+01,1.084000000000000000e+03,6.454688218651618570e+01,-2.023529411764712904e-02,1.062500000000000000e+03
2.000000000000000000e+01,2.097151999999999816e+01,1.140000000000000000e+03,6.464286503551649332e+01,-1.333333333333341919e-02,1.125000000000000000e+03
2.100000000000000000e+01,2.202009599999999878e+01,1.192000000000000000e+03,6.324792486714484596e+01,-3.789473684210564741e-03,1.187500000000000000e+03
2.200000000000000000e+01,2.306867199999999940e+01,1.246000000000000000e+03,6.073466884737250382e+01,3.199999999999980638e-03,1.250000000000000000e+03
2.300000000000000000e+01,2.411724800000000002e+01,1.298000000000000000e+03,5.774686138657234125e+01,1.104761904761908387e-02,1.312500000000000000e+03
2.400000000000000000e+01,2.516582400000000064e+01,1.350000000000000000e+03,5.430745805135791926e+01,1.818181818181818787e-02,1.375000000000000000e+03
2.500000000000000000e+01,2.621439999999999770e+01,1.401000000000000000e+03,5.036069896258391054e+01,2.539130434782610468e-02,1.437500000000000000e+03
2.600000000000000000e+01,2.726297599999999832e+01,1.452000000000000000e+03,4.507549223247595194e+01,3.200000000000002842e-02,1.500000000000000000e+03
2.700000000000000000e+01,2.831155199999999894e+01,1.500000000000000000e+03,4.086563348340509805e+01,4.000000000000003553e-02,1.562500000000000000e+03
