mode,n_ramps,n_reads,frame_time_s,initial_slope_DN_per_frame,initial_slope_DN_per_s,deviation_threshold,well_depth_deviation_DN,well_depth_deviation_e,frame_deviation,time_deviation_s,slope_cutoff_fraction,min_signal_fraction,consecutive_points,well_depth_slope_cutoff_DN,well_depth_slope_cutoff_e,frame_slope_cutoff,time_slope_cutoff_s
Fast0.6,3,515,0.5825422222222222,8.0,13.732910156250002,0.1,3450.9484742371187,nan,481.31615807903955,280.3869843188261,0.05,0.25,5,3552.0,nan,511.4002001000501,297.91220901117225
Fast1.0,3,287,1.048576,15.0,14.30511474609375,0.1,3076.4012006003004,nan,229.9144572286143,241.08278190295147,0.05,0.25,5,3293.0,nan,253.09204602301153,265.38624525062534
Slow5.2,3,58,5.24288,1820.75,347.28050231933594,0.1,36086.0,nan,24.03951975987994,126.03631735867936,0.05,0.25,5,36086.0,nan,24.03951975987994,126.03631735867936
