n1,n2,gain_e_per_DN,gain_err,RN_e,max_signal_DN,nframes
6.087000000000000000e+03,6.088000000000000000e+03,3.162138244250917651e+01,2.366669622493669523e-01,2.568630245240290222e+01,8.223530578613281250e+01,5.800000000000000000e+01
6.088000000000000000e+03,6.089000000000000000e+03,3.916446209231649789e+01,2.307482139727465853e-01,3.065434507823163202e+01,8.322768402099609375e+01,5.800000000000000000e+01
6.089000000000000000e+03,6.090000000000000000e+03,3.919096120721078336e+01,2.326042769351010508e-01,3.034727974138077400e+01,8.340654754638671875e+01,5.800000000000000000e+01
6.090000000000000000e+03,6.091000000000000000e+03,3.930737876549881804e+01,2.460280637814274696e-01,3.082767197894007083e+01,8.344058227539062500e+01,5.800000000000000000e+01
6.091000000000000000e+03,6.093000000000000000e+03,3.863147350679172121e+01,2.523925114163948491e-01,3.087172697726908766e+01,8.357193756103515625e+01,5.800000000000000000e+01
6.093000000000000000e+03,6.094000000000000000e+03,3.854712393303452700e+01,2.404197092599669183e-01,3.093974033292584380e+01,8.365660858154296875e+01,5.800000000000000000e+01
6.094000000000000000e+03,6.095000000000000000e+03,3.891281447930651183e+01,2.709497002684101430e-01,3.067529772500295238e+01,8.367819213867187500e+01,5.800000000000000000e+01
6.095000000000000000e+03,6.096000000000000000e+03,3.976296487971443838e+01,2.134762260524308564e-01,3.151212843740391278e+01,8.363572692871093750e+01,5.800000000000000000e+01
