n1,n2,gain_e_per_DN,gain_err,RN_e,max_signal_DN,nframes
6.163000000000000000e+03,6.164000000000000000e+03,4.519139822877820713e-03,2.433755933831936486e-04,0.000000000000000000e+00,1.473098657226562500e+04,2.300000000000000000e+01
6.164000000000000000e+03,6.165000000000000000e+03,4.255269931992352109e-03,1.938016117981506163e-04,0.000000000000000000e+00,2.477208496093750000e+04,2.300000000000000000e+01
6.165000000000000000e+03,6.166000000000000000e+03,2.658546860938638901e+00,6.011187437172883818e+01,1.429106966463185017e+03,4.031492626953125000e+04,2.300000000000000000e+01
6.166000000000000000e+03,6.167000000000000000e+03,1.586913476710426554e-02,2.186852431202609189e-03,2.587289543301614980e+00,2.035472680664062500e+04,2.300000000000000000e+01
6.167000000000000000e+03,6.168000000000000000e+03,1.536659421363204547e+00,8.020740572666161181e-03,3.434452094383573240e+01,9.694461425781250000e+03,2.300000000000000000e+01
6.168000000000000000e+03,6.169000000000000000e+03,1.545272001083182856e+00,8.759788139896449582e-03,3.459350356490421774e+01,9.675114746093750000e+03,2.300000000000000000e+01
6.169000000000000000e+03,6.170000000000000000e+03,1.503155524901669926e+00,6.076181780311639899e-03,3.163898596175431166e+01,9.670281738281250000e+03,2.300000000000000000e+01
6.170000000000000000e+03,6.171000000000000000e+03,1.533896497992104146e+00,7.972016930031780926e-03,3.348007649778464412e+01,9.639178649902343750e+03,2.300000000000000000e+01
6.171000000000000000e+03,6.172000000000000000e+03,1.552558971204422766e+00,1.136398947563737639e-02,3.485633577203154942e+01,9.610316589355468750e+03,2.300000000000000000e+01
