n1,n2,gain_e_per_DN,gain_err,RN_e,max_signal_DN,nframes
6.057000000000000000e+03,6.058000000000000000e+03,4.775136524639931679e+01,9.242123040387847377e-01,5.368115425682474751e+01,8.269505119323730469e+01,1.030000000000000000e+02
6.058000000000000000e+03,6.059000000000000000e+03,5.285608645861791643e+01,7.208530545012954427e-01,5.599945167267974711e+01,8.410952758789062500e+01,1.030000000000000000e+02
6.059000000000000000e+03,6.060000000000000000e+03,5.354833095362911877e+01,6.541866166595370347e-01,5.683702060890232843e+01,8.403606033325195312e+01,1.030000000000000000e+02
6.060000000000000000e+03,6.061000000000000000e+03,5.298582205629559638e+01,6.040368366966784031e-01,5.539919202824665945e+01,8.450755310058593750e+01,1.030000000000000000e+02
6.061000000000000000e+03,6.062000000000000000e+03,5.443252499782091292e+01,6.089521761668883482e-01,5.731574055996723871e+01,8.428198623657226562e+01,1.030000000000000000e+02
6.062000000000000000e+03,6.063000000000000000e+03,5.305275286368141963e+01,6.895189386478033367e-01,5.589584607368488633e+01,8.458785438537597656e+01,1.030000000000000000e+02
6.063000000000000000e+03,6.064000000000000000e+03,5.461193647003194229e+01,8.228642411709948812e-01,5.836658473860662610e+01,8.481316566467285156e+01,1.030000000000000000e+02
6.064000000000000000e+03,6.065000000000000000e+03,5.506479016455012498e+01,7.435831022786453248e-01,5.851507170771396460e+01,8.459386062622070312e+01,1.030000000000000000e+02
6.065000000000000000e+03,6.066000000000000000e+03,5.466341261270466134e+01,7.607648873419006197e-01,5.797257896558497237e+01,8.476795196533203125e+01,1.030000000000000000e+02
