n1,n2,gain_e_per_DN,gain_err,RN_e,max_signal_DN,nframes
6.047000000000000000e+03,6.048000000000000000e+03,1.187672696039987930e+00,4.305630088442159720e-02,2.508138207188375191e+01,2.124000000000000000e+03,1.200000000000000000e+01
6.048000000000000000e+03,6.049000000000000000e+03,1.232227232636513348e+00,2.997672157602306736e-02,2.672598517848307154e+01,2.091500000000000000e+03,1.200000000000000000e+01
6.049000000000000000e+03,6.050000000000000000e+03,1.183267592750316455e+00,2.734737306050255903e-02,2.427460895347609693e+01,2.126000000000000000e+03,1.200000000000000000e+01
6.050000000000000000e+03,6.051000000000000000e+03,1.242604093802275322e+00,4.770032488970601947e-02,2.773618854070154427e+01,2.147000000000000000e+03,1.200000000000000000e+01
6.051000000000000000e+03,6.052000000000000000e+03,1.342632291222764174e+00,1.133169749798857567e-01,3.264946028011385692e+01,2.133000000000000000e+03,1.200000000000000000e+01
6.052000000000000000e+03,6.053000000000000000e+03,1.172744615981875960e+00,3.542910115184037811e-02,2.510609662446044510e+01,2.126500000000000000e+03,1.200000000000000000e+01
6.053000000000000000e+03,6.054000000000000000e+03,1.156353910562561982e+00,2.919214931476483629e-02,2.345057783370522841e+01,2.138000000000000000e+03,1.200000000000000000e+01
6.054000000000000000e+03,6.055000000000000000e+03,1.240774754762121512e+00,5.555229675786869936e-02,2.770756522383311804e+01,2.152500000000000000e+03,1.200000000000000000e+01
6.055000000000000000e+03,6.056000000000000000e+03,1.119981408795875932e+00,4.996001322486261220e-02,2.332569178403613464e+01,2.112000000000000000e+03,1.200000000000000000e+01
