frame_number,time_s,accumulated_signal_DN,ramp_to_ramp_std_DN,fractional_deviation,initial_linear_model_DN
7.300000000000000000e+01,4.252558222222221929e+01,5.974130000000002383e+01,4.290848045043899717e+00,4.885761828805645912e-02,5.695844598765432920e+01
7.400000000000000000e+01,4.310812444444444225e+01,6.008238333333335390e+01,4.800545284470551621e+00,4.072859274525186812e-02,5.773107777777778438e+01
7.500000000000000000e+01,4.369066666666666521e+01,6.105910000000002924e+01,4.359200656549518271e+00,4.367911797341550439e-02,5.850370956790123955e+01
7.600000000000000000e+01,4.427320888888888817e+01,6.251694999999998004e+01,4.340073453301791950e+00,5.466951177708900822e-02,5.927634135802470183e+01
7.700000000000000000e+01,4.485575111111111113e+01,6.379397777777776923e+01,4.979218790724104338e+00,6.236583963542940978e-02,6.004897314814815701e+01
7.800000000000000000e+01,4.543829333333332698e+01,6.370476111111108253e+01,4.316769386277089282e+00,4.740348722736942300e-02,6.082160493827161218e+01
7.900000000000000000e+01,4.602083555555554994e+01,6.522632777777778301e+01,4.562464944314665871e+00,5.896803406134765169e-02,6.159423672839506736e+01
8.000000000000000000e+01,4.660337777777777291e+01,6.540409999999999968e+01,4.230912569756305253e+00,4.869943855814451439e-02,6.236686851851852964e+01
8.100000000000000000e+01,4.718591999999999587e+01,6.598971666666668057e+01,4.614688417361376693e+00,4.514157293124121395e-02,6.313950030864198482e+01
8.200000000000000000e+01,4.776846222222221883e+01,6.684020555555554211e+01,4.305534879092687284e+00,4.581404751550555154e-02,6.391213209876543999e+01
8.300000000000000000e+01,4.835100444444444179e+01,6.730728333333334490e+01,4.826968921125249778e+00,4.054307825795322451e-02,6.468476388888889517e+01
8.400000000000000000e+01,4.893354666666666475e+01,6.868846111111110986e+01,5.084810666942312096e+00,4.936135021232956888e-02,6.545739567901235034e+01
8.500000000000000000e+01,4.951608888888888771e+01,6.909330000000002769e+01,4.445159208799938533e+00,4.323224133039271777e-02,6.623002746913580552e+01
8.600000000000000000e+01,5.009863111111111067e+01,7.014252222222222599e+01,4.708640752451847433e+00,4.686176634890881765e-02,6.700265925925926069e+01
8.700000000000000000e+01,5.068117333333332653e+01,7.082650555555559890e+01,4.191492569325464324e+00,4.501957068616180280e-02,6.777529104938273008e+01
8.800000000000000000e+01,5.126371555555554949e+01,7.164987222222222840e+01,3.997429198276298390e+00,4.525227394532072012e-02,6.854792283950618526e+01
8.900000000000000000e+01,5.184625777777777245e+01,7.193257222222223390e+01,4.705058320271829686e+00,3.768027544713459243e-02,6.932055462962964043e+01
9.000000000000000000e+01,5.242879999999999541e+01,7.325023888888892998e+01,3.747291738545807327e+00,4.504078970286529149e-02,7.009318641975309561e+01
