n1,n2,gain_e_per_DN,gain_err,RN_e,max_signal_DN,nframes
2.155100000000000000e+04,2.155200000000000000e+04,4.265382565818540428e+01,1.861478708589206776e-01,4.264160108156263362e+01,7.283880920410156250e+02,5.200000000000000000e+01
2.155200000000000000e+04,2.155300000000000000e+04,3.914314452963742497e+01,4.435873163363399652e-01,3.445438489265433191e+01,7.290535278320312500e+02,5.200000000000000000e+01
2.155300000000000000e+04,2.155400000000000000e+04,4.204643432591504393e+01,4.062293910012253484e-01,4.702506488676419139e+01,7.293457336425781250e+02,5.200000000000000000e+01
2.155400000000000000e+04,2.155500000000000000e+04,4.257246473597340497e+01,6.960039971249790680e-01,5.053290844287781880e+01,7.286221923828125000e+02,5.200000000000000000e+01
2.155500000000000000e+04,2.155600000000000000e+04,4.328675879416842776e+01,3.038421348733659766e-01,4.326576947402278961e+01,7.282713317871093750e+02,5.200000000000000000e+01
2.155600000000000000e+04,2.155700000000000000e+04,3.929402255997759141e+01,3.887965276311660667e-01,3.465965035473485045e+01,7.286225051879882812e+02,5.200000000000000000e+01
2.155700000000000000e+04,2.155800000000000000e+04,4.144242629730467797e+01,3.181733656633859431e-01,4.137560729125796399e+01,7.292563247680664062e+02,5.200000000000000000e+01
2.155800000000000000e+04,2.155900000000000000e+04,4.216245955117329203e+01,5.061127812098916712e-01,4.676692031982094022e+01,7.296564941406250000e+02,5.200000000000000000e+01
2.155900000000000000e+04,2.156000000000000000e+04,4.024167660669014879e+01,6.829731086395359752e-01,4.549981929329466368e+01,7.296727600097656250e+02,5.200000000000000000e+01
