n1,n2,gain_e_per_DN,gain_err,RN_e,max_signal_DN,nframes
4.419000000000000000e+03,4.420000000000000000e+03,3.880889298516055419e+01,5.065235779580437026e-01,3.250768978410432197e+01,1.035000000000000000e+02,5.800000000000000000e+01
4.420000000000000000e+03,4.421000000000000000e+03,3.803294042373138950e+01,7.846346847233902633e-01,3.273721204512111171e+01,1.030000000000000000e+02,5.800000000000000000e+01
4.421000000000000000e+03,4.422000000000000000e+03,3.492760826719842271e+01,9.877104829738946323e-01,3.065114292045708666e+01,1.030000000000000000e+02,5.800000000000000000e+01
4.422000000000000000e+03,4.423000000000000000e+03,3.524358355505502516e+01,1.073366466330691438e+00,3.100619425444120836e+01,1.040000000000000000e+02,5.800000000000000000e+01
4.423000000000000000e+03,4.424000000000000000e+03,3.893441953928773103e+01,8.717283678167588867e-01,3.470784563819562862e+01,1.045000000000000000e+02,5.800000000000000000e+01
4.424000000000000000e+03,4.425000000000000000e+03,4.021826181499003638e+01,1.070287079837936695e+00,3.559848847921786330e+01,1.040000000000000000e+02,5.800000000000000000e+01
4.425000000000000000e+03,4.426000000000000000e+03,3.964898909251936487e+01,1.132818858639856430e+00,3.633804851489487220e+01,1.040000000000000000e+02,5.800000000000000000e+01
4.426000000000000000e+03,4.427000000000000000e+03,3.953297948546396867e+01,7.936822078679711678e-01,3.442073520778152584e+01,1.040000000000000000e+02,5.800000000000000000e+01
4.427000000000000000e+03,4.428000000000000000e+03,4.022785498053002584e+01,1.108364971482115768e+00,3.549747797453002818e+01,1.040000000000000000e+02,5.800000000000000000e+01
