n1,n2,gain_e_per_DN,gain_err,RN_e,max_signal_DN,nframes
6.027000000000000000e+03,6.028000000000000000e+03,1.466641719448849024e+00,2.353258559518572532e-02,2.847709828064175497e+01,1.929565063476562500e+03,1.200000000000000000e+01
6.028000000000000000e+03,6.029000000000000000e+03,1.458648559790207688e+00,2.894614999132359007e-02,2.843408948171359896e+01,1.915129760742187500e+03,1.200000000000000000e+01
6.029000000000000000e+03,6.030000000000000000e+03,1.512556651223601722e+00,5.690714954981505175e-02,3.136640701762299699e+01,1.908195800781250000e+03,1.200000000000000000e+01
6.030000000000000000e+03,6.031000000000000000e+03,1.427919994784872193e+00,4.246200711282623746e-02,2.835696548633328717e+01,1.907467956542968750e+03,1.200000000000000000e+01
6.031000000000000000e+03,6.032000000000000000e+03,1.493999576309928079e+00,2.259878232297711162e-02,3.031625319084247749e+01,1.900048461914062500e+03,1.200000000000000000e+01
6.032000000000000000e+03,6.033000000000000000e+03,1.443673495587673772e+00,2.062752402905660212e-02,2.892367714196328876e+01,1.902001403808593750e+03,1.200000000000000000e+01
6.033000000000000000e+03,6.034000000000000000e+03,1.535516789402829430e+00,4.870866551372301373e-02,3.214162161527120531e+01,1.889434814453125000e+03,1.200000000000000000e+01
6.034000000000000000e+03,6.035000000000000000e+03,1.540243240620098542e+00,2.833836199364029793e-02,3.163454037436104116e+01,1.880211303710937500e+03,1.200000000000000000e+01
6.035000000000000000e+03,6.036000000000000000e+03,1.489491461246642112e+00,2.201534744400895222e-02,2.931430007323845999e+01,1.890450561523437500e+03,1.200000000000000000e+01
