n1,n2,gain_e_per_DN,gain_err,RN_e,max_signal_DN,nframes
1.982100000000000000e+04,1.982200000000000000e+04,4.394408143397665611e+01,7.044351194387896142e-02,4.770324864133996101e+01,7.860000000000000000e+02,4.120000000000000000e+02
1.982200000000000000e+04,1.982300000000000000e+04,4.408875880635025624e+01,6.003682049027676132e-02,4.379734436124660846e+01,7.860000000000000000e+02,4.120000000000000000e+02
1.982300000000000000e+04,1.982400000000000000e+04,4.507751555879180927e+01,9.155166544534100448e-02,4.637126250957853557e+01,7.990000000000000000e+02,4.120000000000000000e+02
1.982400000000000000e+04,1.982500000000000000e+04,4.480297104348385773e+01,8.270960260153262245e-02,4.493749427263280438e+01,7.800000000000000000e+02,4.120000000000000000e+02
1.982500000000000000e+04,1.982600000000000000e+04,4.309836284938181450e+01,6.691187034280780821e-02,4.511108016400342535e+01,7.790000000000000000e+02,4.120000000000000000e+02
1.982600000000000000e+04,1.982700000000000000e+04,4.425546979824603255e+01,8.921383839896677992e-02,4.899047731787950966e+01,7.800000000000000000e+02,4.120000000000000000e+02
