frame_number,time_s,accumulated_signal_DN,ramp_to_ramp_std_DN,fractional_rolloff,initial_linear_model_DN
3.900000000000000000e+01,2.271914666666666349e+01,1.324000000000000000e+03,6.082762530298219872e+01,4.576576576576574240e-02,1.387500000000000000e+03
4.000000000000000000e+01,2.330168888888888645e+01,1.354000000000000000e+03,5.943343615620194953e+01,4.982456140350877138e-02,1.425000000000000000e+03
4.100000000000000000e+01,2.388423111111110941e+01,1.382000000000000000e+03,5.781291666516517580e+01,5.504273504273504702e-02,1.462500000000000000e+03
4.200000000000000000e+01,2.446677333333333237e+01,1.412000000000000000e+03,5.574943945906541387e+01,5.866666666666664476e-02,1.500000000000000000e+03
4.300000000000000000e+01,2.504931555555555533e+01,1.442000000000000000e+03,5.368736660829373619e+01,6.211382113821140027e-02,1.537500000000000000e+03
4.400000000000000000e+01,2.563185777777777474e+01,1.471000000000000000e+03,5.139066063011838992e+01,6.603174603174599699e-02,1.575000000000000000e+03
4.500000000000000000e+01,2.621439999999999770e+01,1.499000000000000000e+03,4.921720566360237115e+01,7.038759689922480245e-02,1.612500000000000000e+03
4.600000000000000000e+01,2.679694222222222066e+01,1.527000000000000000e+03,4.521430452117264309e+01,7.454545454545458139e-02,1.650000000000000000e+03
4.700000000000000000e+01,2.737948444444444362e+01,1.555000000000000000e+03,4.178915329763613329e+01,7.851851851851854303e-02,1.687500000000000000e+03
4.800000000000000000e+01,2.796202666666666659e+01,1.583000000000000000e+03,3.800438571182716885e+01,8.231884057971017299e-02,1.725000000000000000e+03
4.900000000000000000e+01,2.854456888888888599e+01,1.611000000000000000e+03,3.439476704383967842e+01,8.595744680851058472e-02,1.762500000000000000e+03
5.000000000000000000e+01,2.912711111111110895e+01,1.640000000000000000e+03,3.023794525647094034e+01,8.888888888888890616e-02,1.800000000000000000e+03
5.100000000000000000e+01,2.970965333333333191e+01,1.666000000000000000e+03,2.554081700598736404e+01,9.333333333333337922e-02,1.837500000000000000e+03
5.200000000000000000e+01,3.029219555555555488e+01,1.694000000000000000e+03,1.969771560359220786e+01,9.653333333333335986e-02,1.875000000000000000e+03
5.300000000000000000e+01,3.087473777777777428e+01,1.722000000000000000e+03,1.571623364550171154e+01,9.960784313725490335e-02,1.912500000000000000e+03
5.400000000000000000e+01,3.145727999999999724e+01,1.747000000000000000e+03,1.205542754668341665e+01,1.041025641025641324e-01,1.950000000000000000e+03
5.500000000000000000e+01,3.203982222222222020e+01,1.777000000000000000e+03,8.544003745317530374e+00,1.059119496855346343e-01,1.987500000000000000e+03
5.600000000000000000e+01,3.262236444444444317e+01,1.806000000000000000e+03,6.082762530298219339e+00,1.081481481481481044e-01,2.025000000000000000e+03
5.700000000000000000e+01,3.320490666666666613e+01,1.841000000000000000e+03,4.932882862316247063e+00,1.073939393939393749e-01,2.062500000000000000e+03
5.800000000000000000e+01,3.378744888888888909e+01,1.869000000000000000e+03,8.000000000000000000e+00,1.099999999999999867e-01,2.100000000000000000e+03
5.900000000000000000e+01,3.436999111111111205e+01,1.898000000000000000e+03,1.167618659209132836e+01,1.120467836257309502e-01,2.137500000000000000e+03
6.000000000000000000e+01,3.495253333333332790e+01,1.926000000000000000e+03,1.417744687875782539e+01,1.144827586206896841e-01,2.175000000000000000e+03
6.100000000000000000e+01,3.553507555555555086e+01,1.954000000000000000e+03,1.757839583124694727e+01,1.168361581920903669e-01,2.212500000000000000e+03
6.200000000000000000e+01,3.611761777777777382e+01,1.984000000000000000e+03,2.042873792805941591e+01,1.182222222222222285e-01,2.250000000000000000e+03
6.300000000000000000e+01,3.670015999999999678e+01,2.012000000000000000e+03,2.260530911091462869e+01,1.204371584699454045e-01,2.287500000000000000e+03
6.400000000000000000e+01,3.728270222222221975e+01,2.042000000000000000e+03,2.409010862020620536e+01,1.217204301075268669e-01,2.325000000000000000e+03
6.500000000000000000e+01,3.786524444444444271e+01,2.071000000000000000e+03,2.515949125081824889e+01,1.233862433862433772e-01,2.362500000000000000e+03
6.600000000000000000e+01,3.844778666666666567e+01,2.100000000000000000e+03,2.715388247255506826e+01,1.250000000000000000e-01,2.400000000000000000e+03
6.700000000000000000e+01,3.903032888888888863e+01,2.130000000000000000e+03,2.830783166074952817e+01,1.261538461538461720e-01,2.437500000000000000e+03
6.800000000000000000e+01,3.961287111111111159e+01,2.161000000000000000e+03,2.800595174839329715e+01,1.268686868686869085e-01,2.475000000000000000e+03
6.900000000000000000e+01,4.019541333333332744e+01,2.192000000000000000e+03,2.830783166074952817e+01,1.275621890547263826e-01,2.512500000000000000e+03
7.000000000000000000e+01,4.077795555555555040e+01,2.222000000000000000e+03,2.836077102854105192e+01,1.286274509803921884e-01,2.550000000000000000e+03
7.100000000000000000e+01,4.136049777777777336e+01,2.254000000000000000e+03,2.868797657556210368e+01,1.288888888888889417e-01,2.587500000000000000e+03
7.200000000000000000e+01,4.194303999999999633e+01,2.285000000000000000e+03,2.764657905299194951e+01,1.295238095238094855e-01,2.625000000000000000e+03
7.300000000000000000e+01,4.252558222222221929e+01,2.316000000000000000e+03,2.615339366124404208e+01,1.301408450704225617e-01,2.662500000000000000e+03
7.400000000000000000e+01,4.310812444444444225e+01,2.349000000000000000e+03,2.421432083155200488e+01,1.300000000000000044e-01,2.700000000000000000e+03
