frame_number,time_s,accumulated_signal_DN,ramp_to_ramp_std_DN,fractional_deviation,initial_linear_model_DN
1.000000000000000000e+00,1.048575999999999953e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.056179012345371593e-01
2.000000000000000000e+00,2.097151999999999905e+00,1.586077777777745723e+00,2.238732360871759308e+00,0.000000000000000000e+00,1.586077777777745723e+00
3.000000000000000000e+00,3.145728000000000080e+00,1.429477777777833580e+00,2.595669483557915491e+00,5.181326029367243624e-01,2.966537654320954065e+00
4.000000000000000000e+00,4.194303999999999810e+00,4.868022222222293749e+00,3.303355225578668009e+00,1.198585201990103322e-01,4.346997530864163295e+00
5.000000000000000000e+00,5.242879999999999541e+00,5.739677777777728807e+00,2.655086992020943892e+00,2.133646660480215118e-03,5.727457407407371193e+00
6.000000000000000000e+00,6.291456000000000159e+00,5.925344444444476721e+00,2.654412491540631081e+00,1.663740294468970538e-01,7.107917283950579090e+00
7.000000000000000000e+00,7.340031999999999890e+00,7.357733333333271730e+00,2.700059115258056419e+00,1.331990562840099646e-01,8.488377160493788764e+00
8.000000000000000000e+00,8.388607999999999620e+00,9.599933333333297014e+00,2.875998472311819043e+00,2.724776006479023849e-02,9.868837037036996662e+00
9.000000000000000000e+00,9.437184000000000239e+00,1.056577777777783922e+01,3.103821855019829101e+00,6.076105387326191654e-02,1.124929691358020456e+01
1.000000000000000000e+01,1.048575999999999908e+01,1.242011111111105492e+01,2.430330361275655715e+00,1.659934411217678374e-02,1.262975679012341423e+01
1.100000000000000000e+01,1.153433599999999970e+01,1.367464444444442506e+01,3.634435844694596796e+00,2.395196521268627698e-02,1.401021666666662213e+01
1.200000000000000000e+01,1.258291200000000032e+01,1.484873333333337087e+01,2.419703697746929283e+00,3.521243581170296899e-02,1.539067654320983003e+01
1.300000000000000000e+01,1.363148799999999916e+01,1.769261111111109130e+01,2.615751233741649528e+00,5.494408180191867608e-02,1.677113641975304148e+01
1.400000000000000000e+01,1.468006399999999978e+01,1.833045555555554529e+01,2.835118889747914483e+00,9.853638012861098971e-03,1.815159629629625115e+01
1.500000000000000000e+01,1.572863999999999862e+01,1.837074444444442634e+01,2.810534233166781970e+00,5.945670635587807507e-02,1.953205617283945728e+01
1.600000000000000000e+01,1.677721599999999924e+01,2.090987777777786505e+01,2.816853293677200831e+00,1.261575411859450213e-04,2.091251604938266695e+01
1.700000000000000000e+01,1.782579199999999986e+01,2.264546666666672081e+01,3.416487273628298738e+00,1.581174007059815700e-02,2.229297592592587662e+01
1.800000000000000000e+01,1.887436800000000048e+01,2.332698888888887723e+01,3.524638931883288251e+00,1.463441624912220629e-02,2.367343580246908274e+01
1.900000000000000000e+01,1.992294399999999754e+01,2.443901111111119917e+01,3.509752591340462580e+00,2.454247338533399603e-02,2.505389567901229242e+01
2.000000000000000000e+01,2.097151999999999816e+01,2.643435555555549854e+01,3.354018874901083525e+00,1.110223024625156540e-16,2.643435555555550209e+01
2.100000000000000000e+01,2.202009599999999878e+01,2.886614444444444416e+01,3.923094707310020635e+00,3.779744700849207995e-02,2.781481543209870821e+01
2.200000000000000000e+01,2.306867199999999940e+01,2.919651111111102182e+01,3.514928761384235045e+00,4.232885136512543056e-05,2.919527530864191789e+01
2.300000000000000000e+01,2.411724800000000002e+01,3.043271111111107530e+01,3.584235610878570899e+00,4.677698613224201551e-03,3.057573518518512756e+01
2.400000000000000000e+01,2.516582400000000064e+01,3.288303333333328737e+01,3.776617863927621332e+00,2.900339886568548131e-02,3.195619506172833368e+01
2.500000000000000000e+01,2.621439999999999770e+01,3.314700000000004820e+01,3.388916317183070515e+00,5.689081241734506023e-03,3.333665493827154336e+01
