n1,n2,gain_e_per_DN,gain_err,RN_e,max_signal_DN,nframes
6.057000000000000000e+03,6.058000000000000000e+03,4.147223510140734248e+01,9.391073554468495344e-01,4.753571680212662898e+01,8.082263565063476562e+01,1.030000000000000000e+02
6.058000000000000000e+03,6.059000000000000000e+03,5.038190908619952069e+01,5.975111178051019101e-01,5.196060683847225192e+01,8.209240722656250000e+01,1.030000000000000000e+02
6.059000000000000000e+03,6.060000000000000000e+03,5.275235812707485650e+01,6.034328760723755014e-01,5.469179481689822353e+01,8.202840042114257812e+01,1.030000000000000000e+02
6.060000000000000000e+03,6.061000000000000000e+03,5.272440461407142465e+01,5.387326399642369257e-01,5.389571120852782826e+01,8.250158691406250000e+01,1.030000000000000000e+02
6.061000000000000000e+03,6.062000000000000000e+03,5.285312611929916216e+01,5.194671024719850205e-01,5.424800486174337522e+01,8.230373382568359375e+01,1.030000000000000000e+02
6.062000000000000000e+03,6.063000000000000000e+03,5.125719971637435179e+01,5.756373543637930412e-01,5.244661840652442208e+01,8.251565933227539062e+01,1.030000000000000000e+02
6.063000000000000000e+03,6.064000000000000000e+03,5.282384688461509370e+01,6.598730135236368088e-01,5.481293362105212452e+01,8.276547241210937500e+01,1.030000000000000000e+02
6.064000000000000000e+03,6.065000000000000000e+03,5.352432013127747013e+01,6.368414303904523788e-01,5.472828834935702957e+01,8.264899063110351562e+01,1.030000000000000000e+02
6.065000000000000000e+03,6.066000000000000000e+03,5.440301535174473457e+01,6.572803627631308432e-01,5.622989510525385271e+01,8.273349761962890625e+01,1.030000000000000000e+02
