n1,n2,gain_e_per_DN,gain_err,RN_e,max_signal_DN,nframes
4.429000000000000000e+03,4.430000000000000000e+03,5.397126304375132833e+01,2.102109667182350705e+00,6.043423357193955070e+01,1.080000000000000000e+02,1.030000000000000000e+02
4.430000000000000000e+03,4.431000000000000000e+03,4.823578638127782625e+01,2.305482939202643689e+00,5.476231782676553195e+01,1.060000000000000000e+02,1.030000000000000000e+02
4.431000000000000000e+03,4.432000000000000000e+03,5.049894651484811448e+01,1.932120260422756752e+00,5.447241593560326578e+01,1.040000000000000000e+02,1.030000000000000000e+02
4.432000000000000000e+03,4.433000000000000000e+03,5.665456908205011644e+01,2.541961470017762181e+00,7.133651863474821653e+01,1.035000000000000000e+02,1.030000000000000000e+02
4.433000000000000000e+03,4.434000000000000000e+03,6.040702772884835525e+01,3.286477337887549144e+00,7.851432496792931204e+01,1.035000000000000000e+02,1.030000000000000000e+02
4.434000000000000000e+03,4.435000000000000000e+03,5.223282169677918318e+01,1.868484562655578385e+00,5.890745909969809446e+01,1.055000000000000000e+02,1.030000000000000000e+02
4.435000000000000000e+03,4.436000000000000000e+03,4.846312698114910944e+01,2.022698128506104087e+00,5.269994474185421751e+01,1.070000000000000000e+02,1.030000000000000000e+02
4.436000000000000000e+03,4.437000000000000000e+03,5.196267052155636179e+01,2.312611844123089178e+00,5.907465456077409982e+01,1.075000000000000000e+02,1.030000000000000000e+02
4.437000000000000000e+03,4.438000000000000000e+03,5.353679987718233235e+01,2.500597984655042794e+00,6.070960334171084583e+01,1.055000000000000000e+02,1.030000000000000000e+02
