n1,n2,gain_e_per_DN,gain_err,RN_e,max_signal_DN,nframes
2.063300000000000000e+04,2.063400000000000000e+04,1.432994372893030111e+00,3.644857403329673090e-02,3.905553623608928149e+01,1.354700000000000000e+04,6.000000000000000000e+00
2.063400000000000000e+04,2.063500000000000000e+04,1.480069227218875350e+00,4.233432094527436046e-02,4.038937251880383883e+01,1.352200000000000000e+04,6.000000000000000000e+00
2.063500000000000000e+04,2.063600000000000000e+04,1.476605266806737093e+00,5.624997095116090334e-02,3.983122874028170912e+01,1.352050000000000000e+04,6.000000000000000000e+00
2.063600000000000000e+04,2.063700000000000000e+04,1.520834643363756067e+00,7.545898376460316581e-02,4.344836344915816539e+01,1.348300000000000000e+04,6.000000000000000000e+00
2.063700000000000000e+04,2.063800000000000000e+04,1.553142528715094173e+00,3.494121749041984720e-02,4.642637747599064824e+01,1.346750000000000000e+04,6.000000000000000000e+00
2.063800000000000000e+04,2.063900000000000000e+04,1.539605324034875933e+00,4.473881484162370997e-02,4.601956928110055145e+01,1.346900000000000000e+04,6.000000000000000000e+00
2.063900000000000000e+04,2.064000000000000000e+04,1.447796274202306055e+00,3.547627177267115989e-02,3.767929198540367963e+01,1.347450000000000000e+04,6.000000000000000000e+00
2.064000000000000000e+04,2.064100000000000000e+04,1.521869761783743780e+00,6.842387024597397505e-02,4.562917337058242140e+01,1.343800000000000000e+04,6.000000000000000000e+00
2.064100000000000000e+04,2.064200000000000000e+04,1.493679346400107910e+00,3.653950216482533542e-02,4.280582508868954505e+01,1.340800000000000000e+04,6.000000000000000000e+00
